MRs,text,model
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a family friendly pub that serves English food for less than £20. It is located in the riverside area near Raja Indian Cuisine.,ours
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a family friendly pub serving english food in the riverside area near Raja Indian Cuisine. The price range is less than £20.,tgen
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a family friendly pub serving english food in the riverside area near Raja Indian Cuisine. The price range is less than £20.,slug
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers is a restaurant providing Chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is average.,ours
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers provides chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is average.,tgen
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]",The Cricketers provides chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is average.,slug
"name[The Wrestlers], eatType[pub], food[Italian], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a children friendly pub that serves Italian food. It is located in the riverside area near Raja Indian Cuisine. The price range is more than £30.,ours
"name[The Wrestlers], eatType[pub], food[Italian], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a children friendly italian pub near Raja Indian Cuisine in the riverside area. The price range is more than £30.,tgen
"name[The Wrestlers], eatType[pub], food[Italian], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a children friendly italian pub near Raja Indian Cuisine in the riverside area. The price range is more than £30.,slug
"name[The Vaults], eatType[pub], food[Italian], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",The Vaults is a pub that serves Italian food. It is located near Rainbow Vegetarian Café. It is not children friendly. The price range is more than £30. The customer rating is high.,ours
"name[The Vaults], eatType[pub], food[Italian], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",The Vaults is a highly rated italian pub near Rainbow Vegetarian Café in the riverside area. It has a price range of more than £30 and is not children friendly.,tgen
"name[The Vaults], eatType[pub], food[Italian], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",The Vaults is a highly rated italian pub near Rainbow Vegetarian Café in the riverside area. It has a price range of more than £30 and is not children friendly.,slug
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a family-friendly pub that serves Japanese food for less than £20. It is located in the city centre near Raja Indian Cuisine.,ours
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a family-friendly pub that serves japanese food for less than £20. It is located in the city centre near Raja Indian Cuisine.,tgen
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a family-friendly pub that serves japanese food for less than £20. It is located in the city centre near Raja Indian Cuisine.,slug
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Vaults is a pub that serves French food for less than £20. It is located in the city centre near Raja Indian Cuisine. It is not family-friendly.,ours
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Vaults is a french pub near Raja Indian Cuisine in the city centre. It is not family-friendly and has a price range of less than £20.,tgen
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Vaults is a french pub near Raja Indian Cuisine in the city centre. It is not family-friendly and has a price range of less than £20.,slug
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix is a restaurant providing Indian food in the £20-25 price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is high.,ours
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix is a restaurant providing indian food in the £20-25 price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is high.,tgen
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix is a restaurant providing indian food in the £20-25 price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is high.,slug
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]",Green Man is a coffee shop near All Bar One with a customer rating of 1 out of 5.,ours
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]",Green Man is a coffee shop near All Bar One with a customer rating of 1 out of 5.,tgen
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]",Green Man is a coffee shop near All Bar One with a customer rating of 1 out of 5.,slug
"name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Mill is a high priced, child friendly restaurant that serves English food. It is located in the riverside area near Raja Indian Cuisine.",ours
"name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a children friendly english restaurant near Raja Indian Cuisine in the riverside area. It has a high price range.,tgen
"name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a children friendly english restaurant near Raja Indian Cuisine in the riverside area. It has a high price range.,slug
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a Chinese restaurant with a high customer rating. It is located in the city centre near All Bar One and is not children friendly. The price range is more than £30.,ours
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a chinese restaurant located in the city centre near All Bar One. It has a high customer rating and a price range of more than £30. It is not children friendly.,tgen
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]",The Cricketers is a chinese restaurant located in the city centre near All Bar One. It has a high customer rating and a price range of more than £30. It is not children friendly.,slug
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",The Punter is a restaurant providing Indian food in the more than £30 price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is high.,ours
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",The Punter is a restaurant providing indian food in the more than £30 price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is high.,tgen
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",The Punter is a restaurant providing indian food in the more than £30 price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is high.,slug
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Punter is a family friendly restaurant that serves Chinese food for less than £20. It is located in the city centre near Raja Indian Cuisine.,ours
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Punter is a chinese restaurant in the less than £20 price range. It is located in the city centre near Raja Indian Cuisine and is family friendly.,tgen
