MRs,text,model
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a kid friendly restaurant located in the city centre near All Bar One. It serves English food and has a high customer rating. The price range is £20-25.,ours
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a restaurant providing english food in the £20-25 price range. It is located in the city centre near All Bar One. Its customer rating is high.,ours
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a restaurant providing english food in the £20-25 price range. It is located in the city centre near All Bar One. Its customer rating is high.,ours
"name[The Vaults], eatType[pub], food[Japanese], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Vaults is a Japanese pub located near Raja Indian Cuisine in the riverside area. It is not family-friendly and has an average customer rating. The price range is less than £20.,ours
"name[The Vaults], eatType[pub], food[Japanese], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Vaults is a japanese pub with a price range less than £20. It is located in the riverside area near Raja Indian Cuisine. It has an average customer rating and is not family-friendly.,ours
"name[The Vaults], eatType[pub], food[Japanese], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Vaults is a japanese pub with a price range less than £20. It is located in the riverside area near Raja Indian Cuisine. It has an average customer rating and is not family-friendly.,ours
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","The Vaults is a moderately priced, kid friendly French pub located in the city centre near Raja Indian Cuisine.",ours
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Vaults is a moderately priced french pub near Raja Indian Cuisine in the city centre. It is kid friendly.,ours
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Vaults is a moderately priced french pub near Raja Indian Cuisine in the city centre. It is kid friendly.,ours
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Phoenix is a fast food restaurant located in the riverside area near Raja Indian Cuisine. It is not family-friendly and has a price range of less than £20.,ours
